,Product titer (g/L)
111,1.3850000000000002
135,3.0
148,0.0068
186,1.65
354,0.65
132,5.28
129,4.5200000000000005
310,10.6
317,23.4
257,12.6
29,5.01
283,8.7
191,3.53
25,1.32
216,13.34
340,0.02498
322,0.0111
28,3.78
242,5.3
369,0.00302134
226,8.6
223,8.8
120,4.4
167,7.65
158,2.45
96,24.8
89,3.6
356,13.3
287,15.92
349,3.7
266,1.65
184,8.2
22,6.35
150,2.52
408,5.245
51,2.36
193,0.09
262,5.5
91,4.1
357,4.32
334,1.6
383,0.00098452
164,5.89
195,2.27
323,0.009300000000000001
106,0.7
109,25.2
321,18.7
285,4.29
275,1.27
95,14.2
292,8.8
152,3.98
182,9.0
210,11.42
113,3.74
220,7.89
387,0.00116514
90,4.8
312,28.2
121,4.5
382,0.00104609
343,0.42000000000000004
154,4.08
44,0.79
159,1.08
103,0.84
169,5.18
407,3.297
214,15.68
325,0.0132
400,5.104
251,5.83
177,2.1389
68,9.5
344,0.96
328,17.8
99,62.8
123,9.8
3,0.0473
179,7.8
31,0.01315
272,1.97
